type,day,tree,measurement,probe
afterro,2023-07-17,BK08,M04,a02_z
afterro,2023-07-17,BK09,M02,a04_z
afterro2,2024-09-02,BK08,M03,Elasto(90)
afterro2,2024-09-02,BK08,M03,a01_z
afterro2,2024-09-02,BK08,M03,a02_z
afterro2,2024-09-02,BK08,M03,a03_z
afterro2,2024-09-02,BK08,M03,a04_z
afterro2,2024-09-02,BK08,M03,blueMaj
afterro2,2024-09-02,BK08,M03,yellowMaj
afterro2,2024-09-02,BK09,M03,a01_z
afterro2,2024-09-02,BK09,M04,a01_z
afterro2,2024-09-02,BK14,M02,a02_z
afterro2,2024-09-02,BK14,M03,a02_z
afterro2,2024-09-02,BK14,M04,a01_z
afterro2,2024-09-02,BK14,M04,a02_z
afterro2,2024-09-02,BK21,M04,blueMaj
afterro2,2024-09-02,BK24,M02,a01_z
afterro2,2024-09-02,BK24,M03,a01_z
afterro2,2024-09-02,BK24,M03,a02_z
den,2021-08-03,BK01,M02,a01_z
den,2021-08-03,BK08,M02,a01_z
den,2021-08-03,BK08,M02,a02_z
den,2021-08-03,BK08,M02,a03_z
den,2021-08-03,BK08,M04,a01_z
den,2021-08-03,BK09,M02,a01_z
den,2021-08-03,BK09,M02,a02_z
den,2021-08-03,BK09,M02,a03_z
den,2021-08-03,BK09,M04,a01_z
den,2021-08-03,BK09,M04,a02_z
den,2021-08-03,BK09,M04,a03_z
den,2021-08-03,BK10,M02,a02_z
den,2021-08-03,BK10,M03,a02_z
den,2021-08-03,BK10,M04,a02_z
den,2022-08-16,BK01,M02,a01_z
den,2022-08-16,BK01,M02,a04_z
den,2022-08-16,BK01,M03,a01_z
den,2022-08-16,BK01,M03,a04_z
den,2022-08-16,BK01,M04,a01_z
den,2022-08-16,BK01,M04,a04_z
den,2022-08-16,BK07,M02,a02_z
den,2022-08-16,BK07,M02,a04_z
den,2022-08-16,BK07,M03,a02_z
den,2022-08-16,BK07,M03,a04_z
den,2022-08-16,BK07,M04,a02_z
den,2022-08-16,BK07,M04,a04_z
den,2022-08-16,BK08,M02,a04_z
den,2022-08-16,BK08,M03,a04_z
den,2022-08-16,BK08,M04,Elasto(90)
den,2022-08-16,BK08,M04,a04_z
den,2022-08-16,BK09,M02,a04_z
den,2022-08-16,BK09,M03,a04_z
den,2022-08-16,BK09,M04,a04_z
den,2022-08-16,BK10,M02,a04_z
den,2022-08-16,BK10,M03,a04_z
den,2022-08-16,BK10,M04,Elasto(90)
den,2022-08-16,BK10,M04,a04_z
den,2022-08-16,BK10,M04,blueMaj
den,2022-08-16,BK10,M04,yellowMaj
den,2022-08-16,BK11,M02,a04_z
den,2022-08-16,BK11,M03,a04_z
den,2022-08-16,BK11,M04,a04_z
mraz,2024-01-16,BK08,M02,a02_z
mraz,2024-01-16,BK08,M03,a02_z
mraz,2024-01-16,BK08,M04,a02_z
mraz,2024-01-16,BK10,M02,a02_z
mraz,2024-01-16,BK10,M03,a02_z
mraz,2024-01-16,BK10,M04,a02_z
noc,2021-08-03,BK10,M02,a02_z
noc,2021-08-03,BK10,M02,a04_z
noc,2021-08-03,BK10,M03,a02_z
noc,2021-08-03,BK10,M03,a04_z
noc,2021-08-03,BK10,M04,a02_z
noc,2021-08-03,BK10,M04,a04_z
noc,2021-08-03,BK10,M05,a02_z
noc,2021-08-03,BK10,M06,a02_z
noc,2022-08-16,BK01,M02,a04_z
noc,2022-08-16,BK01,M03,a04_z
noc,2022-08-16,BK01,M04,a04_z
noc,2022-08-16,BK07,M02,a04_z
noc,2022-08-16,BK07,M03,a04_z
noc,2022-08-16,BK07,M04,a04_z
noc,2022-08-16,BK08,M02,a04_z
noc,2022-08-16,BK08,M03,a04_z
noc,2022-08-16,BK08,M05,a04_z
noc,2022-08-16,BK09,M02,a04_z
noc,2022-08-16,BK09,M03,a04_z
noc,2022-08-16,BK09,M04,a04_z
noc,2022-08-16,BK10,M02,a04_z
noc,2022-08-16,BK10,M03,a04_z
noc,2022-08-16,BK10,M04,a04_z
noc,2022-08-16,BK11,M02,a04_z
noc,2022-08-16,BK11,M03,a04_z
noc,2022-08-16,BK11,M04,a04_z
normal,2021-03-22,BK01,M02,a04_z
normal,2021-03-22,BK01,M03,a04_z
normal,2021-03-22,BK01,M04,a04_z
normal,2021-03-22,BK04,M02,a03_z
normal,2021-03-22,BK04,M02,a04_z
normal,2021-03-22,BK04,M03,a03_z
normal,2021-03-22,BK04,M03,a04_z
normal,2021-03-22,BK04,M04,a03_z
normal,2021-03-22,BK04,M04,a04_z
normal,2021-03-22,BK07,M02,Pt4
normal,2021-03-22,BK07,M02,a03_z
normal,2021-03-22,BK07,M03,a03_z
normal,2021-03-22,BK07,M04,a03_z
normal,2021-03-22,BK07,M05,a03_z
normal,2021-03-22,BK08,M02,a03_z
normal,2021-03-22,BK08,M03,a03_z
normal,2021-03-22,BK08,M03,a04_z
normal,2021-03-22,BK08,M04,a03_z
normal,2021-03-22,BK08,M04,a04_z
normal,2021-03-22,BK08,M05,a03_z
normal,2021-03-22,BK08,M05,a04_z
normal,2021-03-22,BK08,M06,a03_z
normal,2021-03-22,BK08,M06,a04_z
normal,2021-03-22,BK09,M02,a02_z
normal,2021-03-22,BK09,M02,a03_z
normal,2021-03-22,BK09,M03,a02_z
normal,2021-03-22,BK09,M04,a02_z
normal,2021-03-22,BK09,M04,a03_z
normal,2021-03-22,BK10,M03,a02_z
normal,2021-03-22,BK10,M04,a02_z
normal,2021-03-22,BK11,M03,a02_z
normal,2021-03-22,BK11,M03,a04_z
normal,2021-03-22,BK12,M02,a03_z
normal,2021-03-22,BK12,M02,a04_z
normal,2021-03-22,BK12,M03,Pt3
normal,2021-03-22,BK12,M03,Pt4
normal,2021-03-22,BK13,M02,a02_z
normal,2021-03-22,BK13,M02,a04_z
normal,2021-03-22,BK13,M03,a02_z
normal,2021-03-22,BK13,M03,a04_z
normal,2021-03-22,BK14,M02,a04_z
normal,2021-03-22,BK14,M03,a04_z
normal,2021-03-22,BK14,M04,a04_z
normal,2021-03-22,BK16,M02,a01_z
normal,2021-03-22,BK21,M02,a04_z
normal,2021-03-22,BK21,M03,a04_z
normal,2021-03-22,BK21,M04,a04_z
normal,2021-03-22,BK24,M02,a04_z
normal,2021-03-22,BK24,M03,a04_z
normal,2021-03-22,JD18,M02,a03_z
normal,2021-03-22,JD18,M02,a04_z
normal,2021-03-22,JD18,M03,a03_z
normal,2021-03-22,JD18,M03,a04_z
normal,2021-06-29,BK01,M02,a01_z
normal,2021-06-29,BK01,M02,a04_z
normal,2021-06-29,BK01,M03,a01_z
normal,2021-06-29,BK01,M03,a04_z
normal,2021-06-29,BK01,M04,a01_z
normal,2021-06-29,BK01,M04,a04_z
normal,2021-06-29,BK01,M04,blueMaj
normal,2021-06-29,BK01,M05,a01_z
normal,2021-06-29,BK01,M05,a04_z
normal,2021-06-29,BK04,M02,a01_z
normal,2021-06-29,BK07,M02,a02_z
normal,2021-06-29,BK07,M03,a02_z
normal,2021-06-29,BK07,M03,a04_z
normal,2021-06-29,BK07,M04,Pt4
normal,2021-06-29,BK07,M04,a02_z
normal,2021-06-29,BK07,M04,a03_z
normal,2021-06-29,BK07,M04,a04_z
normal,2021-06-29,BK07,M05,a02_z
normal,2021-06-29,BK07,M05,a03_z
normal,2021-06-29,BK07,M05,blueMaj
normal,2021-06-29,BK08,M02,a01_z
normal,2021-06-29,BK08,M02,a02_z
normal,2021-06-29,BK08,M02,a03_z
normal,2021-06-29,BK08,M02,blueMaj
normal,2021-06-29,BK08,M03,a02_z
normal,2021-06-29,BK08,M03,a04_z
normal,2021-06-29,BK08,M04,a02_z
normal,2021-06-29,BK08,M04,a04_z
normal,2021-06-29,BK08,M05,a02_z
normal,2021-06-29,BK08,M05,a04_z
normal,2021-06-29,BK09,M02,a01_z
normal,2021-06-29,BK10,M02,a01_z
normal,2021-06-29,BK10,M02,a02_z
normal,2021-06-29,BK10,M02,a03_z
normal,2021-06-29,BK10,M03,a02_z
normal,2021-06-29,BK10,M03,a04_z
normal,2021-06-29,BK10,M03,blueMaj
normal,2021-06-29,BK10,M04,a01_z
normal,2021-06-29,BK10,M04,a02_z
normal,2021-06-29,BK10,M04,a02_z
normal,2021-06-29,BK10,M04,a03_z
normal,2021-06-29,BK10,M04,a04_z
normal,2021-06-29,BK10,M04,blueMaj
normal,2021-06-29,BK11,M02,a01_z
normal,2021-06-29,BK11,M02,a04_z
normal,2021-06-29,BK11,M03,Pt3
normal,2021-06-29,BK11,M03,Pt4
normal,2021-06-29,BK11,M03,a04_z
normal,2021-06-29,BK11,M04,a04_z
normal,2021-06-29,BK11,M05,a04_z
normal,2021-06-29,BK12,M02,a01_z
normal,2021-06-29,BK12,M03,Elasto(90)
normal,2021-06-29,BK12,M03,Pt3
normal,2021-06-29,BK12,M03,Pt4
normal,2021-06-29,BK12,M03,a03_z
normal,2021-06-29,BK12,M03,a04_z
normal,2021-06-29,BK12,M03,blueMaj
normal,2021-06-29,BK12,M03,yellowMaj
normal,2021-06-29,BK12,M04,a04_z
normal,2021-06-29,BK12,M05,a01_z
normal,2021-06-29,BK12,M05,a03_z
normal,2021-06-29,BK12,M06,a04_z
normal,2021-06-29,BK13,M02,a01_z
normal,2021-06-29,BK13,M02,a02_z
normal,2021-06-29,BK13,M02,a03_z
normal,2021-06-29,BK13,M02,a04_z
normal,2021-06-29,BK13,M03,a01_z
normal,2021-06-29,BK13,M03,a02_z
normal,2021-06-29,BK13,M03,a03_z
normal,2021-06-29,BK13,M04,Elasto(90)
normal,2021-06-29,BK13,M04,Pt3
normal,2021-06-29,BK13,M04,Pt4
normal,2021-06-29,BK13,M04,blueMaj
normal,2021-06-29,BK13,M04,yellowMaj
normal,2021-06-29,BK13,M05,a01_z
normal,2021-06-29,BK13,M05,a02_z
normal,2021-06-29,BK14,M02,a01_z
normal,2021-06-29,BK14,M03,Elasto(90)
normal,2021-06-29,BK14,M03,Pt3
normal,2021-06-29,BK14,M03,Pt4
normal,2021-06-29,BK14,M03,a01_z
normal,2021-06-29,BK14,M03,a02_z
normal,2021-06-29,BK14,M03,a03_z
normal,2021-06-29,BK14,M03,a04_z
normal,2021-06-29,BK14,M03,blueMaj
normal,2021-06-29,BK14,M03,yellowMaj
normal,2021-06-29,BK14,M04,a01_z
normal,2021-06-29,BK14,M06,a01_z
normal,2021-06-29,BK16,M02,Pt3
normal,2021-06-29,BK16,M02,Pt4
normal,2021-06-29,BK16,M02,a01_z
normal,2021-06-29,BK16,M03,a01_z
normal,2021-06-29,BK16,M03,a03_z
normal,2021-06-29,BK16,M04,a03_z
normal,2021-06-29,BK21,M02,a01_z
normal,2021-06-29,BK21,M02,a03_z
normal,2021-06-29,BK21,M04,a01_z
normal,2021-06-29,BK21,M05,a01_z
normal,2021-06-29,BK24,M02,a01_z
normal,2021-06-29,JD18,M04,a02_z
normal,2021-06-29,JD18,M04,a03_z
normal,2021-06-29,JD18,M04,a04_z
normal,2022-04-05,BK01,M02,a04_z
normal,2022-04-05,BK01,M03,a04_z
normal,2022-04-05,BK01,M04,a04_z
normal,2022-04-05,BK07,M03,a03_z
normal,2022-04-05,BK07,M04,a03_z
normal,2022-04-05,BK07,M04,a04_z
normal,2022-04-05,BK09,M02,a03_z
normal,2022-04-05,BK09,M03,a03_z
normal,2022-04-05,BK09,M04,a02_z
normal,2022-04-05,BK09,M04,a03_z
normal,2022-04-05,BK10,M02,a03_z
normal,2022-04-05,BK10,M03,a02_z
normal,2022-04-05,BK10,M03,a03_z
normal,2022-04-05,BK10,M03,a04_z
normal,2022-04-05,BK10,M03,blueMaj
normal,2022-04-05,BK10,M04,a02_z
normal,2022-04-05,BK10,M04,blueMaj
normal,2022-04-05,BK14,M02,blueMaj
normal,2022-04-05,BK16,M02,a04_z
normal,2022-04-05,BK16,M03,a04_z
normal,2022-04-05,BK16,M04,a04_z
normal,2022-04-05,BK21,M03,Pt3
normal,2022-04-05,BK21,M03,Pt4
normal,2022-04-05,BK24,M03,a04_z
normal,2022-04-05,BK24,M04,a04_z
normal,2022-04-05,JD18,M02,Elasto(90)
normal,2022-04-05,JD18,M02,a04_z
normal,2022-04-05,JD18,M02,yellowMaj
normal,2022-04-05,JD18,M03,Elasto(90)
normal,2022-04-05,JD18,M03,a04_z
normal,2022-04-05,JD18,M03,blueMaj
normal,2022-04-05,JD18,M03,yellowMaj
normal,2022-04-05,JD18,M04,a04_z
normal,2022-08-16,BK01,M02,a04_z
normal,2022-08-16,BK01,M03,a01_z
normal,2022-08-16,BK01,M03,a04_z
normal,2022-08-16,BK01,M04,a04_z
normal,2022-08-16,BK04,M02,a04_z
normal,2022-08-16,BK04,M03,a04_z
normal,2022-08-16,BK04,M04,a04_z
normal,2022-08-16,BK07,M02,a04_z
normal,2022-08-16,BK07,M03,a04_z
normal,2022-08-16,BK07,M04,a04_z
normal,2022-08-16,BK07,M05,a04_z
normal,2022-08-16,BK08,M02,a01_z
normal,2022-08-16,BK08,M02,a04_z
normal,2022-08-16,BK08,M03,a04_z
normal,2022-08-16,BK08,M04,a04_z
normal,2022-08-16,BK09,M02,a04_z
normal,2022-08-16,BK09,M03,a04_z
normal,2022-08-16,BK09,M04,a04_z
normal,2022-08-16,BK10,M02,a04_z
normal,2022-08-16,BK10,M03,a02_z
normal,2022-08-16,BK10,M03,a04_z
normal,2022-08-16,BK10,M04,a04_z
normal,2022-08-16,BK11,M02,a04_z
