measurement_type,day,tree,angle
afterro,2023-07-17,BK01,0.0
afterro,2023-07-17,BK08,0.0
afterro,2023-07-17,BK09,0.0
afterro,2023-07-17,BK11,0.0
afterro,2023-07-17,BK12,0.0
afterro,2023-07-17,BK21,0.0
afterro2,2024-09-02,BK01,19.8
afterro2,2024-09-02,BK04,14.1
afterro2,2024-09-02,BK08,19.6
afterro2,2024-09-02,BK09,11.7
afterro2,2024-09-02,BK11,15.6
afterro2,2024-09-02,BK12,7.8
afterro2,2024-09-02,BK13,20.9
afterro2,2024-09-02,BK14,14.3
afterro2,2024-09-02,BK16,8.2
afterro2,2024-09-02,BK21,12.2
afterro2,2024-09-02,BK24,8.6
den,2021-08-03,BK01,12.3
den,2021-08-03,BK07,12.3
den,2021-08-03,BK08,12.3
den,2021-08-03,BK09,12.3
den,2021-08-03,BK10,12.3
den,2021-08-03,BK11,12.3
den,2022-08-16,BK01,12.1
den,2022-08-16,BK07,12.1
den,2022-08-16,BK08,12.1
den,2022-08-16,BK09,8.3
den,2022-08-16,BK10,0.0
den,2022-08-16,BK11,0.0
mraz,2024-01-16,BK01,22.4
mraz,2024-01-16,BK07,22.4
mraz,2024-01-16,BK08,13.5
mraz,2024-01-16,BK09,12.2
mraz,2024-01-16,BK10,12.2
mraz,2024-01-16,BK11,15.8
noc,2021-08-03,BK01,23.2
noc,2021-08-03,BK07,16.3
noc,2021-08-03,BK08,12.1
noc,2021-08-03,BK09,12.3
noc,2021-08-03,BK10,12.3
noc,2021-08-03,BK11,12.3
noc,2022-08-16,BK01,13.1
noc,2022-08-16,BK07,13.1
noc,2022-08-16,BK08,13.1
noc,2022-08-16,BK09,0.0
noc,2022-08-16,BK10,0.0
noc,2022-08-16,BK11,0.0
noc,2023-07-17,BK01,0.0
noc,2023-07-17,BK07,0.0
noc,2023-07-17,BK08,0.0
noc,2023-07-17,BK09,0.0
noc,2023-07-17,BK10,0.0
noc,2023-07-17,BK11,0.0
normal,2021-03-22,BK01,22.4
normal,2021-03-22,BK04,0.0
normal,2021-03-22,BK07,14.3
normal,2021-03-22,BK08,13.1
normal,2021-03-22,BK09,0.0
normal,2021-03-22,BK10,0.0
normal,2021-03-22,BK11,13.8
normal,2021-03-22,BK12,0.0
normal,2021-03-22,BK13,0.0
normal,2021-03-22,BK14,11.9
normal,2021-03-22,BK16,0.0
normal,2021-03-22,BK21,8.9
normal,2021-03-22,BK24,5.0
normal,2021-03-22,JD18,5.9
normal,2021-06-29,BK01,0.0
normal,2021-06-29,BK04,0.0
normal,2021-06-29,BK07,0.0
normal,2021-06-29,BK08,0.0
normal,2021-06-29,BK09,11.1
normal,2021-06-29,BK10,15.7
normal,2021-06-29,BK11,15.1
normal,2021-06-29,BK12,5.3
normal,2021-06-29,BK13,5.3
normal,2021-06-29,BK14,5.3
normal,2021-06-29,BK16,5.3
normal,2021-06-29,BK21,5.3
normal,2021-06-29,BK24,0.0
normal,2021-06-29,JD18,5.3
normal,2022-04-05,BK01,0.0
normal,2022-04-05,BK04,0.0
normal,2022-04-05,BK07,15.0
normal,2022-04-05,BK08,12.8
normal,2022-04-05,BK09,12.8
normal,2022-04-05,BK10,14.5
normal,2022-04-05,BK11,13.0
normal,2022-04-05,BK12,5.3
normal,2022-04-05,BK13,18.3
normal,2022-04-05,BK14,11.7
normal,2022-04-05,BK16,5.7
normal,2022-04-05,BK21,9.9
normal,2022-04-05,BK24,6.2
normal,2022-04-05,JD18,5.5
normal,2022-08-16,BK01,22.9
normal,2022-08-16,BK04,13.6
normal,2022-08-16,BK07,12.2
normal,2022-08-16,BK08,14.1
normal,2022-08-16,BK09,12.5
normal,2022-08-16,BK10,16.2
normal,2022-08-16,BK11,16.2
normal,2022-08-16,BK12,16.2
normal,2022-08-16,BK13,16.2
normal,2022-08-16,BK14,16.2
normal,2022-08-16,BK16,5.6
normal,2022-08-16,BK21,7.2
normal,2022-08-16,BK24,0.0
normal,2022-08-16,JD18,7.2
normal,2023-07-17,BK01,0.0
normal,2023-07-17,BK04,0.0
normal,2023-07-17,BK07,0.0
normal,2023-07-17,BK08,0.0
normal,2023-07-17,BK09,0.0
normal,2023-07-17,BK10,0.0
normal,2023-07-17,BK11,0.0
normal,2023-07-17,BK12,0.0
normal,2023-07-17,BK13,0.0
normal,2023-07-17,BK14,0.0
normal,2023-07-17,BK16,0.0
normal,2023-07-17,BK21,0.0
normal,2023-07-17,BK24,6.2
normal,2023-07-17,JD18,0.0
normal,2024-04-10,BK01,21.4
normal,2024-04-10,BK04,13.8
normal,2024-04-10,BK07,13.9
normal,2024-04-10,BK08,13.1
normal,2024-04-10,BK09,11.8
normal,2024-04-10,BK10,17.0
normal,2024-04-10,BK11,14.6
normal,2024-04-10,BK12,6.9
normal,2024-04-10,BK13,19.1
normal,2024-04-10,BK14,19.1
normal,2024-04-10,BK16,19.1
normal,2024-04-10,BK21,10.6
normal,2024-04-10,BK24,10.6
normal,2024-04-10,JD18,6.4
normal,2024-09-02,BK01,21.1
normal,2024-09-02,BK04,11.5
normal,2024-09-02,BK07,13.0
normal,2024-09-02,BK08,11.3
normal,2024-09-02,BK09,10.1
normal,2024-09-02,BK10,15.3
normal,2024-09-02,BK11,13.8
normal,2024-09-02,BK12,5.6
normal,2024-09-02,BK13,19.4
normal,2024-09-02,BK14,19.4
normal,2024-09-02,BK16,5.0
normal,2024-09-02,BK21,11.0
normal,2024-09-02,BK24,5.8
normal,2024-09-02,JD18,5.0
