state,day,tree,type,angle,diameter 1.3,height of anchorage,lv3 hposition,lv5 hposition,kamera,nokamera
bezlisty,2021-03-22,BK01,normal,22.0,56,8.5,4.14,1.16,blue,yellow
olisteny,2021-06-29,BK01,normal,22.8,56,8.5,4.14,1.16,yellow,blue
olisteny,2021-08-03,BK01,den,21.5,56,8.5,2.8,1.16,yellow,blue
olisteny,2021-08-03,BK01,noc,22.7,56,8.5,2.8,1.16,yellow,blue
bezlisty,2022-04-05,BK01,normal,20.0,56,8.5,4.14,1.16,yellow,blue
olisteny,2022-08-16,BK01,normal,22.4,56,8.5,4.14,1.16,yellow,blue
olisteny,2022-08-16,BK01,den,21.4,56,8.5,2.8,1.16,yellow,blue
olisteny,2022-08-16,BK01,noc,21.2,56,8.5,2.8,1.16,yellow,blue
olisteny,2023-07-17,BK01,normal,21.6,56,8.5,4.14,1.16,yellow,blue
olisteny,2023-07-17,BK01,noc,20.8,56,8.5,2.8,1.16,yellow,blue
olisteny,2023-07-17,BK01,afterro,29.8,56,8.5,4.14,1.16,yellow,blue
bezlisty,2024-01-16,BK01,mraz,22.4,56,8.5,2.8,1.16,yellow,blue
bezlisty,2024-04-10,BK01,normal,22.5,56,8.5,4.14,1.16,yellow,blue
olisteny,2024-09-02,BK01,normal,21.6,56,8.5,4.14,1.16,yellow,blue
olisteny,2024-09-02,BK01,afterro2,22.6,56,8.5,4.14,1.16,yellow,blue
olisteny,2024-09-02,BK01,mokro,21.8,56,8.5,4.14,1.16,yellow,blue
bezlisty,2021-03-22,BK04,normal,13.3,43,6.7,3.35,0.94,blue,yellow
olisteny,2021-06-29,BK04,normal,13.2,43,6.7,3.35,0.94,yellow,blue
bezlisty,2022-04-05,BK04,normal,14.2,43,6.7,3.35,0.94,yellow,blue
olisteny,2022-08-16,BK04,normal,13.8,43,6.7,3.35,0.94,yellow,blue
olisteny,2023-07-17,BK04,normal,12.2,43,6.7,3.35,0.94,yellow,blue
bezlisty,2024-04-10,BK04,normal,12.8,43,6.7,3.35,0.94,yellow,blue
olisteny,2024-09-02,BK04,normal,12.6,43,6.7,3.35,0.94,yellow,blue
olisteny,2024-09-02,BK04,afterro2,12.2,43,6.7,3.35,0.94,yellow,blue
bezlisty,2021-03-22,BK07,normal,14.2,64,9.8,4.78,1.32,blue,yellow
olisteny,2021-06-29,BK07,normal,14.5,64,9.8,4.78,1.32,blue,yellow
olisteny,2021-08-03,BK07,den,14.6,64,9.8,3.2,1.32,yellow,blue
olisteny,2021-08-03,BK07,noc,14.4,64,9.8,3.2,1.32,yellow,blue
bezlisty,2022-04-05,BK07,normal,15.2,64,9.8,4.78,1.32,blue,yellow
olisteny,2022-08-16,BK07,normal,14.2,64,9.8,4.78,1.32,blue,yellow
olisteny,2022-08-16,BK07,den,14.4,64,9.8,3.2,1.32,yellow,blue
olisteny,2022-08-16,BK07,noc,13.8,64,9.8,3.2,1.32,yellow,blue
olisteny,2023-07-17,BK07,normal,14.2,64,9.8,4.78,1.32,blue,yellow
olisteny,2023-07-17,BK07,noc,13.6,64,9.8,3.2,1.32,yellow,blue
bezlisty,2024-01-16,BK07,mraz,14.5,64,9.8,3.2,1.32,blue,yellow
bezlisty,2024-04-10,BK07,normal,14.0,64,9.8,4.78,1.32,blue,yellow
olisteny,2024-09-02,BK07,normal,13.6,64,9.8,4.78,1.32,blue,yellow
olisteny,2024-09-02,BK07,mokro,13.5,64,9.8,4.78,1.32,blue,yellow
bezlisty,2021-03-22,BK08,normal,12.2,39,5.95,2.95,0.82,yellow,blue
olisteny,2021-06-29,BK08,normal,12.0,39,5.95,2.95,0.82,yellow,blue
olisteny,2021-08-03,BK08,den,13.2,39,5.95,1.98,0.82,yellow,blue
olisteny,2021-08-03,BK08,noc,13.1,39,5.95,1.98,0.82,yellow,blue
bezlisty,2022-04-05,BK08,normal,13.4,39,5.95,2.95,0.82,yellow,blue
olisteny,2022-08-16,BK08,normal,13.2,39,5.95,2.95,0.82,yellow,blue
olisteny,2022-08-16,BK08,den,13.0,39,5.95,1.98,0.82,yellow,blue
olisteny,2022-08-16,BK08,noc,13.2,39,5.95,1.98,0.82,blue,yellow
olisteny,2023-07-17,BK08,normal,12.0,39,5.95,2.95,0.82,yellow,blue
olisteny,2023-07-17,BK08,noc,11.6,39,5.95,1.98,0.82,yellow,blue
olisteny,2023-07-17,BK08,afterro,12.4,39,5.95,2.95,0.82,yellow,blue
bezlisty,2024-01-16,BK08,mraz,12.8,39,5.95,1.94,0.82,yellow,blue
bezlisty,2024-04-10,BK08,normal,12.6,39,5.95,2.95,0.82,yellow,blue
olisteny,2024-09-02,BK08,normal,12.0,39,5.95,2.95,0.82,yellow,blue
olisteny,2024-09-02,BK08,afterro2,12.2,39,5.95,2.95,0.82,yellow,blue
olisteny,2024-09-02,BK08,mokro,11.5,39,5.95,2.95,0.82,yellow,blue
bezlisty,2021-03-22,BK09,normal,10.4,36,5.5,2.74,0.8,blue,yellow
olisteny,2021-06-29,BK09,normal,11.6,36,5.5,2.74,0.8,yellow,blue
olisteny,2021-08-03,BK09,den,11.65,36,5.5,1.83,0.8,yellow,blue
olisteny,2021-08-03,BK09,noc,12.0,36,5.5,1.83,0.8,yellow,blue
bezlisty,2022-04-05,BK09,normal,12.6,36,5.5,2.74,0.8,yellow,blue
olisteny,2022-08-16,BK09,normal,12.0,36,5.5,2.74,0.8,yellow,blue
olisteny,2022-08-16,BK09,den,11.2,36,5.5,1.83,0.8,yellow,blue
olisteny,2022-08-16,BK09,noc,11.6,36,5.5,1.83,0.8,yellow,blue
olisteny,2023-07-17,BK09,normal,11.3,36,5.5,2.74,0.8,yellow,blue
