day,tree,measurement,variable,time,value
2021-03-22,BK01,M03,Pt3,51.9084964560006,6.15031303880096
2021-03-22,BK01,M03,Pt3,53.688787264,-4.900641606800491
2021-03-22,BK01,M03,Pt3,55.0490104320006,4.522889159496117
2021-03-22,BK01,M03,Pt3,58.7296129120004,4.338215327297803
2021-03-22,BK01,M03,Pt3,56.8393034560004,-4.896484658806003
2021-03-22,BK01,M03,Pt3,60.4498942959999,-3.996300076403713
2021-03-22,BK01,M03,Pt3,62.0401544800006,3.560207685295609
2021-03-22,BK01,M03,Pt3,63.8204459920007,-3.4886334702023305
2021-03-22,BK01,M03,Pt3,65.3106894560005,3.1362904449997586
2021-03-22,BK01,M03,Pt3,67.2610094320007,-3.2093180490046507
2021-03-22,BK01,M03,Pt3,70.4715342640002,-2.5610788279009284
2021-03-22,BK01,M03,Pt3,72.2818304800003,2.538317804595863
2021-03-22,BK01,M03,Pt3,74.0921272400001,-2.4604304029999184
2021-03-22,BK01,M03,Pt3,75.7724022960001,2.2706568774956395
2021-03-22,BK01,M03,Pt3,77.4926832159999,-2.201754988003813
2021-03-22,BK01,M03,Pt3,78.9429207760004,1.969342150798184
2021-03-22,BK01,M03,Pt3,80.9332468880002,-1.9885479299045985
2021-03-22,BK01,M03,Pt3,82.5135054800003,1.818187898999895
2021-03-22,BK01,M03,Pt3,84.1737773760005,-1.7792589513992425
2021-03-22,BK01,M03,Pt3,85.8340493200003,1.6646781917006592
2021-03-22,BK01,M03,Pt3,87.6543606560008,-1.6169127696048236
2021-03-22,BK01,M03,Pt3,89.3446239680006,1.5060266102009336
2021-03-22,BK01,M03,Pt3,91.1149132959999,-1.5009582234051777
2021-03-22,BK01,M03,Pt3,92.7051738640002,1.3369234943966148
2021-03-22,BK01,M03,Pt3,94.475462888,-1.3480592916021124
2021-03-22,BK01,M03,Pt3,96.0557217280002,1.2375364241961506
2021-03-22,BK01,M03,Pt3,97.9460313200007,-1.2271892969001783
2021-03-22,BK01,M03,Pt3,99.536291208,1.0892805203984608
2021-03-22,BK01,M03,Pt3,101.23656948,-1.0641947817057371
2021-03-22,BK01,M03,Pt3,102.926846432,0.9677623229945312
2021-03-22,BK01,M03,Pt3,104.727141432,-1.0059706028041546
2021-03-22,BK01,M03,Pt3,106.207383536001,0.7572990345943253
2021-03-22,BK01,M03,Pt3,68.991291888,3.051261165193864
2021-03-22,BK04,M02,Pt3,51.9485025120002,7.533229539403692
2021-03-22,BK04,M02,Pt3,54.2888859679997,-5.145152358498308
2021-03-22,BK04,M02,Pt3,56.3792284319998,6.609364340198226
2021-03-22,BK04,M02,Pt3,58.4095602959997,-3.810148465199745
2021-03-22,BK04,M02,Pt3,60.5699142960002,5.739807061800093
2021-03-22,BK04,M02,Pt3,62.6702575359996,-2.4575113940954907
2021-03-22,BK04,M02,Pt3,64.8206095120004,4.681102323098457
2021-03-22,BK01,M02,Pt3,64.5305620560002,5.323377468295803
2021-03-22,BK01,M02,Pt3,66.2708475120007,-4.038375037605874
2021-03-22,BK01,M02,Pt3,67.7110826240005,3.574475906396401
2021-03-22,BK01,M02,Pt3,69.5513845120004,-3.826317288003338
2021-03-22,BK01,M02,Pt3,71.2916686240005,3.3800551173990243
2021-03-22,BK01,M04,Pt3,45.4174335999996,6.299760172398237
2021-03-22,BK01,M04,Pt3,47.2477326239996,-4.754756114904012
2021-03-22,BK01,M04,Pt3,48.7579799759997,4.173447292399942
2021-03-22,BK01,M04,Pt3,50.4482570559994,-4.298097880498972
2021-03-22,BK01,M04,Pt3,52.1785398960001,4.096193825600494
2021-03-22,BK01,M04,Pt3,53.9988381359999,-3.550829094303481
2021-03-22,BK01,M04,Pt3,55.7491246239997,3.371770064200973
2021-03-22,BK01,M04,Pt3,57.2993781360001,-2.994695167100872
2021-03-22,BK01,M04,Pt3,58.9696516479999,2.9585767842945643
2021-03-22,BK01,M04,Pt3,60.7599449520003,-2.6526965726006893
2021-03-22,BK01,M04,Pt3,62.4402196000001,2.6206970275961794
2021-03-22,BK01,M04,Pt3,64.1504995679998,-2.098027524705685
2021-03-22,BK01,M04,Pt3,65.7407600799997,2.292101365193957
2021-03-22,BK01,M04,Pt3,67.4910466800002,-1.6879468932020243
2021-03-22,BK01,M04,Pt3,69.2513345999996,2.1037105154973688
2021-03-22,BK01,M04,Pt3,70.9916189759997,-1.218411620502593
2021-03-22,BK01,M04,Pt3,72.6118846239997,1.931891301297583
2021-03-22,BK01,M04,Pt3,74.3321656480002,-0.7969132966027246
2021-03-22,BK01,M04,Pt3,76.1624659439995,1.7163912450996577
