date,tree,measurement,Freq
2021-03-22,BK01,M02,0.2801120448179272
2021-03-22,BK01,M03,0.2922374429223744
2021-03-22,BK01,M04,0.3017729158807997
2021-03-22,BK04,M02,0.2281684297863514
2021-03-22,BK04,M03,0.2388535031847134
2021-03-22,BK04,M04,0.2287121745249824
2021-03-22,BK07,M02,0.3146138115463268
2021-03-22,BK07,M03,0.3134796238244514
2021-03-22,BK07,M04,0.3112620260328239
2021-03-22,BK07,M05,0.3319016009371339
2021-03-22,BK08,M02,0.3459119496855346
2021-03-22,BK08,M03,0.3548196333530455
2021-03-22,BK08,M04,0.3723932472691162
2021-03-22,BK08,M05,0.3514463368477967
2021-03-22,BK08,M06,0.3559693318729463
2021-03-22,BK09,M02,0.2139495079161318
2021-03-22,BK09,M03,0.2350570852921424
2021-03-22,BK09,M04,0.2368866328257191
2021-03-22,BK10,M02,0.3343465045592705
2021-03-22,BK10,M03,0.3058103975535168
2021-03-22,BK10,M04,0.3028991778450887
2021-03-22,BK11,M02,0.3311258278145696
2021-03-22,BK11,M03,0.3334568358651352
2021-03-22,BK11,M04,0.3337041156840934
2021-03-22,BK12,M02,0.2295552367288379
2021-03-22,BK12,M04,0.228310502283105
2021-03-22,BK13,M02,0.2345058626465661
2021-03-22,BK13,M03,0.2537485582468281
2021-03-22,BK13,M04,0.23767082590612
2021-03-22,BK14,M02,0.2944507361268404
2021-03-22,BK14,M03,0.2979515828677839
2021-03-22,BK14,M04,0.2761341222879685
2021-03-22,BK16,M02,0.2584814216478191
2021-03-22,BK16,M03,0.2515723270440251
2021-03-22,BK16,M04,0.2692696061932009
2021-03-22,BK21,M02,0.3363228699551569
2021-03-22,BK21,M03,0.3298969072164948
2021-03-22,BK21,M04,0.3238712135644884
2021-03-22,BK24,M02,0.3219963775407527
2021-03-22,BK24,M03,0.3309796999117388
2021-03-22,BK24,M04,0.3307392996108949
2022-04-05,BK01,M02,0.2921348314606741
2022-04-05,BK01,M03,0.3105590062111801
2022-04-05,BK01,M04,0.2952602952602953
2022-04-05,BK04,M02,0.2250562640660165
2022-04-05,BK04,M03,0.2187079407806191
2022-04-05,BK04,M04,0.2264639275315432
2022-04-05,BK07,M02,0.314777998674619
2022-04-05,BK07,M03,0.3096774193548387
2022-04-05,BK07,M04,0.3157230056830141
2022-04-05,BK08,M02,0.3362474781439139
2022-04-05,BK08,M03,0.3410059676044331
2022-04-05,BK08,M04,0.364963503649635
2022-04-05,BK09,M02,0.2358490566037736
2022-04-05,BK09,M03,0.2399314481576693
2022-04-05,BK09,M04,0.248015873015873
2022-04-05,BK10,M02,0.3054989816700611
2022-04-05,BK10,M03,0.3184037359371684
2022-04-05,BK10,M04,0.3227888960619755
2022-04-05,BK11,M02,0.3326159264331833
2022-04-05,BK11,M03,0.3337914784999018
2022-04-05,BK11,M04,0.3311258278145696
2022-04-05,BK12,M02,0.2202202202202202
2022-04-05,BK12,M04,0.2072968490878939
2022-04-05,BK13,M02,0.2346866932644919
2022-04-05,BK13,M03,0.2446982055464927
2022-04-05,BK13,M04,0.24906600249066
2022-04-05,BK14,M02,0.2878289473684211
2022-04-05,BK14,M03,0.2829997978572872
2022-04-05,BK14,M04,0.2898550724637681
2022-04-05,BK14,M05,0.2825428859737639
2022-04-05,BK16,M03,0.2626793291574055
2022-04-05,BK16,M04,0.2779432201707365
2022-04-05,BK21,M02,0.3168250792062698
2022-04-05,BK21,M04,0.3230365435089844
2022-04-05,BK24,M02,0.3322908522283033
2022-04-05,BK24,M03,0.3329244787103557
2022-04-05,BK24,M04,0.3330003330003329
2022-08-16,BK01,M02,0.2649445272396092
2022-08-16,BK01,M03,0.2690802348336595
2022-08-16,BK01,M04,0.2596883739512585
2022-08-16,BK04,M02,0.1984126984126984
2022-08-16,BK04,M03,0.1909125620465827
2022-08-16,BK04,M04,0.1959247648902822
2022-08-16,BK07,M02,0.275282526803825
2022-08-16,BK07,M03,0.2760524499654935
2022-08-16,BK07,M04,0.2813731007315701
2022-08-16,BK07,M05,0.2788914066585323
2022-08-16,BK08,M02,0.3007518796992481
2022-08-16,BK08,M03,0.310336595846264
2022-08-16,BK08,M04,0.3087610961018912
2022-08-16,BK09,M02,0.219079864568811
2022-08-16,BK09,M03,0.2196047115192653
2022-08-16,BK09,M04,0.2200440088017604
2022-08-16,BK10,M02,0.2748870999410956
2022-08-16,BK10,M03,0.2857687178510192
2022-08-16,BK10,M04,0.2774813233724653
2022-08-16,BK11,M02,0.2996147809958624
2022-08-16,BK11,M03,0.2996703626011388
2022-08-16,BK11,M04,0.3137689184200813
2022-08-16,BK12,M02,0.1997602876548142
2022-08-16,BK12,M03,0.1897860593512767
2022-08-16,BK12,M04,0.1840490797546012
2022-08-16,BK13,M03,0.2124782692679158
2022-08-16,BK13,M04,0.2173483501284331
2022-08-16,BK14,M02,0.2651347768448962
2022-08-16,BK14,M03,0.2443660059733913
2022-08-16,BK14,M04,0.2362204724409449
2022-08-16,BK16,M02,0.2317497103128621
2022-08-16,BK16,M03,0.2425222312045271
2022-08-16,BK16,M04,0.2256873204759951
2022-08-16,BK21,M02,0.2706817797327017
2022-08-16,BK21,M03,0.2684049079754601
2022-08-16,BK21,M04,0.2668699961875715
2022-08-16,BK24,M02,0.3014469453376206
2022-08-16,BK24,M03,0.3132341425215349
2022-08-16,BK24,M04,0.3144654088050314
2021-06-29,BK01,M02,0.2633311389071758
2021-06-29,BK01,M03,0.2624671916010499
2021-06-29,BK01,M04,0.2729044834307992
2021-06-29,BK01,M05,0.2635046113306983
2021-06-29,BK04,M02,0.1968503937007874
2021-06-29,BK04,M03,0.2244309073420968
2021-06-29,BK04,M04,0.2136244956088298
2021-06-29,BK07,M02,0.2850807728856509
2021-06-29,BK07,M03,0.2900232018561484
2021-06-29,BK07,M04,0.3236245954692557
2021-06-29,BK07,M05,0.2903225806451613
2021-06-29,BK08,M02,0.3291639236339697
2021-06-29,BK08,M03,0.3224506247480854
2021-06-29,BK08,M04,0.3225806451612903
2021-06-29,BK08,M05,0.3429061294470638
2021-06-29,BK09,M02,0.2303484019579614
2021-06-29,BK09,M03,0.2311756935270806
2021-06-29,BK09,M04,0.2190923317683881
2021-06-29,BK10,M02,0.2965403624382207
2021-06-29,BK10,M03,0.3008021390374331
2021-06-29,BK10,M04,0.2910360884749709
2021-06-29,BK11,M02,0.2947678703021371
2021-06-29,BK11,M04,0.2900418949403802
2021-06-29,BK11,M05,0.318894499069891
2021-06-29,BK12,M02,0.2041510717931269
2021-06-29,BK12,M04,0.1818181818181818
2021-06-29,BK12,M05,0.200445434298441
2021-06-29,BK12,M06,0.1972942502818489
2021-06-29,BK13,M02,0.2188868042526579
2021-06-29,BK13,M03,0.2320185614849188
2021-06-29,BK13,M04,0.05216484089723526
2021-06-29,BK13,M05,0.2122015915119363
2021-06-29,BK14,M02,0.2492729538845035
2021-06-29,BK14,M04,0.2508061626657112
2021-06-29,BK14,M05,0.2507662301476735
2021-06-29,BK14,M06,0.2409638554216867
2021-06-29,BK16,M02,0.24906600249066
2021-06-29,BK16,M03,0.2489331436699858
2021-06-29,BK16,M04,0.2570694087403599
2021-06-29,BK21,M02,0.2913752913752914
2021-06-29,BK21,M03,0.3070310101320233
2021-06-29,BK21,M04,0.2931834839970682
2021-06-29,BK21,M05,0.2972107910379515
2021-06-29,BK24,M02,0.2932551319648093
2021-06-29,BK24,M03,0.3137478608100399
2021-06-29,BK24,M04,0.3246753246753247
