,day,tree,measurement,remark1,remark2
0,2021-03-22_bezlisty,1,M1 ,30fps,
1,2021-03-22_bezlisty,1,M2,"100fps,movement of the marker",
2,2021-03-22_bezlisty,1,M3,100fps,
3,2021-03-22_bezlisty,1,M4,,
4,2021-03-22_bezlisty,4,M1 ,,
5,2021-03-22_bezlisty,4,M2,,
6,2021-03-22_bezlisty,4,M3,,
7,2021-03-22_bezlisty,4,M4,,
8,2021-03-22_bezlisty,7,M1 ,,
9,2021-03-22_bezlisty,7,M2,,
10,2021-03-22_bezlisty,7,M3,,
11,2021-03-22_bezlisty,7,M4,,
12,2021-03-22_bezlisty,7,M5,,
13,2021-03-22_bezlisty,8,M1 ,TMS3 vypnutý,
14,2021-03-22_bezlisty,8,M2,TMS3 vypnutý,
15,2021-03-22_bezlisty,8,M3,TMS3 vypnutý,
16,2021-03-22_bezlisty,8,M4,foukal vítr,TMS3 vypnutý
17,2021-03-22_bezlisty,8,M5,TMS3 vypnutý,
18,2021-03-22_bezlisty,8,M6,"TMS3 zapnutý, ale už byla tma",
19,2021-03-22_bezlisty,9,M1 ,TMS8 vypnutý,
20,2021-03-22_bezlisty,9,M2,TMS8 vypnutý,
21,2021-03-22_bezlisty,9,M3,TMS8 vypnutý,
22,2021-03-22_bezlisty,9,M4,TMS8 vypnutý,
23,2021-03-22_bezlisty,10,M1 ,,
24,2021-03-22_bezlisty,10,M2,honza před kamerou,
25,2021-03-22_bezlisty,10,M3,,
26,2021-03-22_bezlisty,10,M4,,
27,2021-03-22_bezlisty,11,M1 ,,
28,2021-03-22_bezlisty,11,M2,,
29,2021-03-22_bezlisty,11,M3,,
30,2021-03-22_bezlisty,11,M4,,
31,2021-03-22_bezlisty,12,M1 ,,
32,2021-03-22_bezlisty,12,M2,,
33,2021-03-22_bezlisty,12,M3,kamery se vypnuly dřív,
34,2021-03-22_bezlisty,12,M4,,
35,2021-03-22_bezlisty,13,M1 ,,
36,2021-03-22_bezlisty,13,M2,,
37,2021-03-22_bezlisty,13,M3,,
38,2021-03-22_bezlisty,13,M4,,
39,2021-03-22_bezlisty,14,M1 ,IM se nevrací,
40,2021-03-22_bezlisty,14,M2,,
41,2021-03-22_bezlisty,14,M3,,
42,2021-03-22_bezlisty,14,M4,,
43,2021-03-22_bezlisty,16,M1 ,IŽ přes limit,
44,2021-03-22_bezlisty,16,M2,,
45,2021-03-22_bezlisty,16,M3,,
46,2021-03-22_bezlisty,16,M4,,
47,2021-03-22_bezlisty,18,M1 ,,
48,2021-03-22_bezlisty,18,M2,,
49,2021-03-22_bezlisty,18,M3,,
50,2021-03-22_bezlisty,18,M4,,
51,2021-03-22_bezlisty,21,M1 ,,
52,2021-03-22_bezlisty,21,M2,,
53,2021-03-22_bezlisty,21,M3,,
54,2021-03-22_bezlisty,21,M4,,
55,2021-03-22_bezlisty,24,M1 ,,
56,2021-03-22_bezlisty,24,M2,,
57,2021-03-22_bezlisty,24,M3,,
58,2021-03-22_bezlisty,24,M4,,
59,2021-06-29_olisteny,1,M1 ,,
60,2021-06-29_olisteny,1,M2,bez foťáku,
61,2021-06-29_olisteny,1,M3,bez foťáku,
62,2021-06-29_olisteny,1,M4,bez foťáku,
63,2021-06-29_olisteny,1,M5,s foťákem,
64,2021-06-29_olisteny,4,M1 ,,
65,2021-06-29_olisteny,4,M2,,
66,2021-06-29_olisteny,4,M3,,
67,2021-06-29_olisteny,4,M4,,
68,2021-06-29_olisteny,7,M1 ,,
69,2021-06-29_olisteny,7,M2,,
70,2021-06-29_olisteny,7,M3,,
71,2021-06-29_olisteny,7,M4,,
72,2021-06-29_olisteny,7,M5,,
73,2021-06-29_olisteny,8,M1 ,u třetího tahu se vypnuly kamery,
74,2021-06-29_olisteny,8,M2,asi špatný,
75,2021-06-29_olisteny,8,M3,,
76,2021-06-29_olisteny,8,M4,,
