date,tree,measurement,k,q
2021-03-22,BK01,M03,-0.0314168335041887,3.2340695845797525
2021-03-22,BK01,M02,-0.0111438301278682,2.0553801288724074
2021-03-22,BK01,M04,-0.0510243992105643,4.035936724838731
2021-03-22,BK04,M04,-0.0936317090247602,5.67879828504674
2021-03-22,BK04,M02,-0.0382125915808674,3.7447043958563166
2021-03-22,BK04,M03,-0.0401029625970585,3.3516621589231304
2021-03-22,BK07,M02,-0.040261034813793,7.192872539223148
2021-03-22,BK07,M03,-0.0453600165235444,4.676261858342003
2021-03-22,BK07,M04,-0.1018015739597069,6.148624495043932
2021-03-22,BK07,M05,-0.0380677696514862,4.301527844592771
2021-03-22,BK08,M02,-0.1365709219779673,5.197984790679164
2021-03-22,BK08,M03,-0.0820249714083473,6.548984724651905
2021-03-22,BK08,M04,-0.1077997541433974,7.587203464431267
2021-03-22,BK08,M05,-0.0829807311174791,5.405026095271178
2021-03-22,BK08,M06,-0.0709449026449042,3.628080663417018
2021-03-22,BK09,M02,-0.0633388560314857,2.7561665245452955
2021-03-22,BK09,M03,-0.0543245795461578,2.7279210149349624
2021-03-22,BK09,M04,-0.0462513669097306,2.46090818441124
2021-03-22,BK10,M02,-0.0506429248725863,2.996832015403958
2021-03-22,BK10,M03,-0.0450450902386474,2.5113936870806017
2021-03-22,BK10,M04,-0.0566294252145821,3.2751769335853984
2021-03-22,BK11,M04,-0.0433384267294086,4.173030506096886
2021-03-22,BK11,M02,-0.0267845289867583,2.780260800019235
2021-03-22,BK11,M03,-0.0652674890842058,4.8485065240623575
2021-03-22,BK12,M02,-0.0363600015167214,2.7148048454557974
2021-03-22,BK12,M04,-0.0362470930547835,1.6039619866343255
2021-03-22,BK13,M04,-0.0671046274478037,8.029771070444188
2021-03-22,BK13,M02,-0.0649111958279822,6.12393758688868
2021-03-22,BK13,M03,-0.065453349711378,6.803388366958676
2021-03-22,BK14,M03,-0.0515509077946261,3.360015098437337
2021-03-22,BK14,M02,-0.0419406828915489,2.523588299348736
2021-03-22,BK14,M04,-0.0474737535063317,3.4770735590243183
2021-03-22,BK16,M04,-0.0475477511910991,3.155053892950633
2021-03-22,BK16,M03,-0.0554098782487325,3.643484482242082
2021-03-22,BK16,M02,-0.0550763027354108,2.5610253499543134
2021-03-22,BK21,M04,-0.0656661822101749,7.24021621675437
2021-03-22,BK21,M03,-0.0509334871242476,5.811447833127244
2021-03-22,BK21,M02,-0.0712782760967424,7.6810473301455
2021-03-22,BK24,M02,-0.0667114515216479,10.06273231842914
2021-03-22,BK24,M03,-0.063646375997132,7.947170929748453
2021-03-22,BK24,M04,-0.0582255582953349,7.498123617306854
2021-06-29,BK01,M02,-0.1531953070805457,8.897331692552857
2021-06-29,BK01,M03,-0.1018501352636178,6.110834985411866
2021-06-29,BK01,M04,-0.1724395065836629,10.842611495077096
2021-06-29,BK01,M05,-0.0793534281885371,5.98792553360655
2021-06-29,BK04,M02,-0.0699696886644147,5.034628661626871
2021-06-29,BK04,M03,-0.1751829299216284,7.991660575316129
2021-06-29,BK04,M04,-0.0535693314513056,3.439535738759496
2021-06-29,BK07,M02,-0.0780490371762715,8.237631120597035
2021-06-29,BK07,M03,-0.100379287279425,8.558138783936837
2021-06-29,BK07,M04,-0.1498908519578342,14.505378230488768
2021-06-29,BK07,M05,-0.0973416278679933,8.03554170535755
2021-06-29,BK08,M05,-0.0887256687932675,6.017104945736451
2021-06-29,BK08,M02,-0.0553396677257032,3.1990455891828824
