measurement_type, day, tree, measurement, source, end_time
normal, 2024-09-02, BK09, M02, Elasto(90), 100.182
den, 2022-08-16, BK08, M02, Elasto(90), 112.89
den, 2022-08-16, BK08, M03, Elasto(90), 118
mokro, 2024-09-02, BK08, M02, Elasto(90), 46.6
normal, 2024-09-02, BK08, M02, Elasto(90), 82.1
normal, 2022-04-05, BK11, M04, Elasto(90), 88.816
normal, 2022-04-05, BK11, M03, Elasto(90), 77.435
normal, 2024-09-02, BK16, M03, Elasto(90), 76
den, 2021-08-03, BK11, M03, Elasto(90), 106.804
normal, 2024-09-02, BK24, M04, Elasto(90), 102
normal, 2022-04-05, BK14, M04, Elasto(90), 76.5
normal, 2024-04-10, BK12, M03, Elasto(90), 66.4
normal, 2022-04-05, BK04, M03, Elasto(90), 107.5
normal, 2022-04-05, BK01, M03, blueMaj, 88.0
