,Pt3,Pt4,Force(100),Elasto(90),RopeAngle(100),Inclino(80)X,Inclino(80)Y,Inclino(81)X,Inclino(81)Y,Inclino(80)X_0_5,Inclino(80)Y_0_5,Inclino(81)X_0_5,Inclino(81)Y_0_5,Inclino(80)X_5_10,Inclino(80)Y_5_10,Inclino(81)X_5_10,Inclino(81)Y_5_10,Inclino(80)X_10_20,Inclino(80)Y_10_20,Inclino(81)X_10_20,Inclino(81)Y_10_20
BK01 M02,-12.487768941681235,-11.947797140924342,6.169262716540124,-49.80164983216431,15.779042157554331,-0.02847373194290564,0.0068965989622334365,-0.050438874405199854,-0.0010935509077035234,0.0005173522063475522,8.791761646939935e-05,-0.0006023140724702552,-0.0010902247645774603,0.0011431070754043264,-0.000565879245712404,-0.0007224946338973615,0.002019079706883235,0.0021192759451111837,-0.0009439673756914151,-0.0009664963141262948,0.00016078670492404785
BK01 M03,-15.566060777506209,-14.831203226250418,7.382427153835145,-61.0308788392765,14.780935906274262,-0.04484354391695427,0.009269777847337478,-0.06568952546549074,-0.0029668606054918446,-0.0011614915018052189,0.0018010300762883956,-0.000855682530685153,-0.002875028501758286,-0.0003865436471217541,0.0034822829545270006,-0.0011581373747018237,-0.0044693789727122644,-0.00014302126583733902,0.0037875646662125823,-0.0016165331270966256,-0.0019976416742724648
BK01 M04,-14.383385036628718,-13.764215916648244,6.91754481989665,-55.43482046140119,4.666067612916144,-0.036248218240872425,0.005619355056244835,-0.05901065480029152,0.0019564493280068832,0.001181252379404394,0.0002637727661696435,-0.0017103686991812967,-5.5824524285777444e-05,0.001973199621994057,-0.0008064099279504316,-0.001234157761019587,0.0006767782796388294,0.0011897610744400827,-0.00017434638079556294,-0.0009875184902925459,0.0007774446429901868
BK04 M02,-17.530694843448163,-17.751940157373838,6.6121251779478785,-100.65307451161314,4.950716725308622,0.014526243190327475,-0.0808173766467036,-0.09945863958737165,0.012906743967481574,-0.00019089030943392828,-0.0004505099992950884,-0.0016014578491928598,0.0013718867555942093,-0.0037547337325090882,-0.00020670867038626362,0.0013666573817449773,0.006137631140972794,-0.003163011053661228,-0.0020617643812149223,-0.0003226386216503277,0.005441214213860304
BK04 M03,-17.709123286951424,-16.717014521514578,7.345558845105028,,5.94516598063384,0.020454992367742356,-0.07737875271200106,-0.0968750174683989,0.0034530024893028835,0.0001253093525355284,0.0019268168651665433,0.0027442727096898163,0.0009906544801542288,-0.0002910750600766986,0.0015240051944919427,0.0024047206422030637,0.001304885112571141,0.00030082249103586725,0.00036834667685408203,0.0013919370266286793,0.001012109445176307
BK04 M04,-19.818275161634094,-18.852575950102423,7.007115870261777,-105.80017009575073,4.67103828386271,0.02099417966759793,-0.08710991460799897,-0.1060316887947423,0.0036021896808623127,-0.0012769105555165833,0.0004932139062939697,0.00010999056660684895,-0.0007855659235276248,-0.0010413733480678714,7.879721478505819e-05,0.0003778887010003003,-0.0011882758885030601,0.0002204459652840943,-0.004537777650136818,-0.0057015174232531935,-0.0013749768736056988
BK07 M02,-28.587055305415493,-27.809098156513524,14.418979920264185,-105.06137006078505,10.685382644560677,0.0019639082824685176,-0.07917300766303148,-0.11457626484549811,0.006703289709781135,-0.0005614668099696421,0.0019260785188256009,0.0009971657057285524,0.0001680827493556954,-0.0005521700529498548,0.002935587447582945,0.0006813670968827321,0.001216163234338494,-0.00017322363440852606,0.004644526540326271,0.00019659782931847746,0.0001579757494068261
BK07 M03,-14.374697102229922,-13.9504682286735,7.145018311135648,-55.17939849931485,1.2503354926574017,0.004101159763024031,-0.03171440090998388,-0.04924075172794761,0.004828569465702153,0.00043081697325697766,0.0015654568390927326,-0.0019457242319472342,-0.0016234069885970287,0.001095054010383178,0.0020272111699591753,-0.0012205794692675216,-0.002037721690886248,-1.066855700422253e-05,0.0028929810840486857,-0.0025467343605574348,-0.0016261601706296434
BK07 M04,-13.583535536924039,-13.436791097052424,6.44825225918517,-48.85155670689423,8.370545197880967,0.0011651953542899478,-0.026665750367236084,-0.0413197428646654,0.0037972104289097034,0.0012333558300550234,0.0014779211152040322,0.0006592813329333491,-0.0006794296576226388,0.0024770661079441324,0.0012544607013874613,0.0007850004318503779,-0.004072796833375049,0.002672769798532798,0.0012607108243939348,-0.0002846765246754743,-0.0029660062193554862
BK07 M05,-14.131398391701623,-13.978084748376345,6.784316572437129,-53.09372843348104,11.936269661220358,-0.0005526173523398168,-0.029199431141969427,-0.04821656149170915,0.0039184180436847935,8.739072293608795e-05,0.0005433620606872556,-0.0004296824234395902,-0.0025186859260464133,-0.0009328886974440169,-0.0006776459389670089,0.00011808393918177365,-0.0023461595693759284,-0.0004904507925286197,0.0012551952023895753,0.0005334189308362475,-0.0030075644834881106
