type,day,tree,measurement,Inclino(80)X,Inclino(80)Y,Inclino(81)X,Inclino(81)Y
normal,2021-03-22,BK01,M02,,15,,
normal,2021-03-22,BK10,M02,5,5,5,5
normal,2021-03-22,BK11,M03,6,6,6,6
normal,2021-03-22,BK11,M03,9,9,9,9
normal,2021-03-22,BK12,M02,15,,,
normal,2021-03-22,BK12,M03,11,,,
normal,2021-03-22,BK12,M04,7,7,7,7
normal,2021-03-22,BK14,M02,7,7,7,7
normal,2021-03-22,BK14,M03,7,7,7,7
normal,2021-03-22,BK14,M04,7,7,,
normal,2021-03-22,BK16,M02,4,4,6,6
normal,2021-03-22,BK16,M03,7,7,7,7
normal,2021-03-22,BK16,M04,8,8,8,8
normal,2021-06-29,BK07,M04,10,,10,
normal,2021-06-29,BK08,M02,10,,,
normal,2021-06-29,BK08,M03,8,,,
normal,2021-06-29,BK08,M04,,,10,
normal,2021-06-29,BK08,M05,10,,,
normal,2021-06-29,BK09,M03,,10,,
normal,2021-06-29,BK11,M05,,,,11
normal,2022-04-05,BK09,M02,,8,,
normal,2022-04-05,BK13,M02,0,0,0,0
normal,2022-08-16,BK10,M02,,10,,
normal,2022-08-16,BK12,M02,,,8,
normal,2022-08-16,BK12,M03,,,8,
normal,2022-08-16,BK12,M04,,,8,
normal,2022-08-16,BK13,M02,10,10,10,10
normal,2023-07-17,BK12,M03,6,6,6,6
normal,2023-07-17,BK21,M03,10,10,10,10
normal,2024-04-10,BK01,M02,10,,,
normal,2024-04-10,BK08,M02,9,9,9,9
normal,2024-04-10,BK08,M03,10,10,10,10
normal,2024-04-10,BK09,M01,,,,10
normal,2024-04-10,BK09,M04,10,,,
normal,2024-04-10,BK12,M02,9,,,
normal,2024-04-10,BK12,M03,9,,,
normal,2024-04-10,BK12,M04,9,,,
normal,2024-04-10,BK16,M01,10,10,10,10
afterro,2023-07-17,BK12,M01,10,10,10,10
afterro2,2024-09-02,BK16,M03,10,,,
afterro2,2024-09-02,BK16,M04,10,10,10,10
